user_login,cluster,umap_x,umap_y
circe_13,3,-13.41998,-2.4951706
clara_obelenis,6,1.109893,-3.2280433
claraceni,2,-1.5375938,-3.6604
clau_martins,7,-5.7229004,-10.712661
claudia_mermelstein,8,-2.6408117,-8.69691
claudiafz,8,-2.3453052,-8.607476
claudio490,8,-2.1419725,-8.463313
claudiolemos,7,-5.8247705,-10.791037
claudiomartins,1,-5.014611,-7.345982
clelgen,12,-5.3528438,-4.00001
clem-vk,7,-5.6187696,-10.857612
clive_malta,11,-2.8593946,-2.5874453
cloretodesodio,0,-8.001825,-7.816651
cmcunha,3,-13.00154,-2.8924313
cmillan,9,-7.2385206,-4.6608076
cnmodesto,7,-5.701612,-10.790946
comenius,10,-2.459636,-5.7780085
conifera,13,-5.9927673,-0.72912157
conradopavel,8,-2.1669357,-8.474651
cortez_mbl,4,-6.8187647,-5.7066393
cowaiibutters,13,-6.2319684,-1.0672067
coyotefan,7,-5.5877376,-10.599641
crax,3,-12.488496,-2.6844616
crisbaraldi,12,-5.988022,-3.45608
crisbolochio,4,-4.9315186,-4.26943
criskato,7,-5.678022,-10.80186
crislemes,5,-4.3512087,-1.4995105
crisnici,7,-6.852162,-9.0962
crispheal,8,-2.6775033,-7.217293
crisrappa,2,-2.6310117,-4.0167007
cristiane35796,12,-7.060638,-3.3868604
cristinasininhosa,4,-5.243037,-4.5227304
csammet,9,-7.8595543,-4.800708
cunhaandre,13,-6.2731113,-1.1179565
cups,2,-2.6445189,-3.4218655
cury03,3,-12.185468,-2.9071944
cuvardic16,7,-6.135367,-10.321873
cz-milka,1,-5.0053473,-6.5367203
da_lopes,8,-2.0896058,-8.281409
damatarafa,1,-3.8713942,-5.782044
dan_jesse_,8,-2.1507356,-7.932705
dandamasc,3,-12.988443,-2.8538263
dani-gracinha,2,-2.5618536,-3.4217715
daniel2577,0,-7.396614,-7.355206
daniel4637,0,-8.433333,-7.065966
daniel4796,11,-1.665115,-2.206278
daniel_schelesky,5,-4.540263,-3.7065458
danielcavallari,2,-2.7363594,-4.319959
danielle16126,1,-4.9540854,-6.8700523
danielle31186,7,-6.817758,-9.041146
danielskatz,7,-5.7868123,-10.349852
danilomacq,12,-5.7444577,-3.3302627
danimelsz,8,-2.335126,-7.808439
